,title,spicyLevel,belly-pork-recipes,bacon-recipes,duck-recipes,tofu-menu-recipes,Shrimp-Recipes,salted-egg-recipes,rice-recipes,fruit-recipes,pork-recipes,avocado-recipes,cheese-recipes,squid-recipes,chicken-recipes,fish-recipes,egg-recipes,mushroom-recipes,noodle-recipes,beef-recipes,seafood-recipes,vegetable-recipes,crab-recipes,bread-recipes,chicken-breast-recipes,salmon-recipes,sausage-recipes,shell-recipes,fried-recipes,microwave-recipes,roast-recipes,deep-fried-recipes,rice-cooker-recipes,convection-oven-recipes,baked-recipes,steamed-recipes,thai-spicy-salad-recipes,boiled-recipes,weight-loss-recipes,low-calorie-recipes,high-fiber-recipes,clean-food-recipes,salad-recipes,low-fat-recipes,pork,rice,noodle,egg,bean,shrimp,bread,chicken,fish,offal,crab,spicy_flavor,mediumspicy_flavor,little_spicy,vegetable,milk,squid,duck,beef,flour,sweet_flavor,salty_flavor,sour_flavor,process_meat,smell_flavor,shellfish,potato,fruit,tofu,fish_maw,grain,protein,carbo,mineral,vitamit
41,ข้าวมัน-ส้มตำ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0,0.0
42,มักกะโรนีเกลียวผัดไก่,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.47318611987381703,0.3470031545741325,0.17981072555205047,0.0
43,หมี่เหลืองผัดซีอิ๊ว,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.5990415335463258,0.3993610223642173,0.001597444089456869,0.0
44,สปาเกตตีผัดคะน้าปลาเค็ม,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.29411764705882354,0.35294117647058826,0.35294117647058826,0.0
45,ไก่ผัดพริกแกง,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.5,0.0,0.5,0.0
46,ส้มตำปูม้า,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0.2507836990595611,0.018808777429467086,0.1786833855799373,0.5517241379310345
47,ผัดซีอิ๊วเส้นเหลืองหมู,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.23529411764705882,0.5882352941176471,0.17647058823529413,0.0
48,พิซซ่าญี่ปุ่น,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0.16680553241126478,0.0,0.8331944675887352,0.0
49,ข้าวผัดสามสหาย,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.4358974358974359,0.5641025641025641,0.0,0.0
50,สปาเกตตี้ซอสมะเขือเทศหมูสับ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.2738892270237371,0.0,0.7261107729762629,0.0
51,กุ้ง,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0
52,ข้าวผัดไส้กรอกสอดไส้ชีส,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0.41333333333333333,0.5866666666666667,0.0,0.0
53,มักกะโรนีกุ้ง,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.2546689303904924,0.5093378607809848,0.23599320882852293,0.0
54,สปาเก็ตตี้หมูกรอบ,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.34782608695652173,0.6521739130434783,0.0,0.0
55,ข้าวยำเกาหลี,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.26832671460770635,0.0608564988730278,0.6708167865192658,0.0
56,ผัดพริกหน่อไม้หมูสามชั้น,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.23809523809523808,0.0,0.7619047619047619,0.0
57,ราดหน้าดอกกระหล่ำ,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0.35,0.35,0.3,0.0
58,ไข่เจียวแหนม,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
59,กระเพาะปลาน้ำแดง,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1.0,0.0,0.0,0.0
60,ขนมจีนน้ำยากะทิ,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1.0,0.0,0.0,0.0
